video_path,video_name,exercise,subject_id,view,total_frames,fps,duration_sec,width,height
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg02.mp4,Front view V50-seg02.mp4,Dumbbell shoulder press,volunteer_050,front,67,30.0,2.2333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg03.mp4,Front view V50-seg03.mp4,Dumbbell shoulder press,volunteer_050,front,62,30.0,2.066666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg04.mp4,Front view V50-seg04.mp4,Dumbbell shoulder press,volunteer_050,front,64,30.0,2.1333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg05.mp4,Front view V50-seg05.mp4,Dumbbell shoulder press,volunteer_050,front,63,30.0,2.1,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg06.mp4,Front view V50-seg06.mp4,Dumbbell shoulder press,volunteer_050,front,57,30.0,1.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg07.mp4,Front view V50-seg07.mp4,Dumbbell shoulder press,volunteer_050,front,56,30.0,1.8666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg08.mp4,Front view V50-seg08.mp4,Dumbbell shoulder press,volunteer_050,front,57,30.0,1.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg09.mp4,Front view V50-seg09.mp4,Dumbbell shoulder press,volunteer_050,front,66,30.0,2.2,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg10.mp4,Front view V50-seg10.mp4,Dumbbell shoulder press,volunteer_050,front,61,29.97002997002997,2.0353666666666665,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg01.mp4,Front view V6-seg01.mp4,Dumbbell shoulder press,volunteer_006,front,86,30.0,2.8666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg02.mp4,Front view V6-seg02.mp4,Dumbbell shoulder press,volunteer_006,front,74,30.0,2.466666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg03.mp4,Front view V6-seg03.mp4,Dumbbell shoulder press,volunteer_006,front,73,30.0,2.433333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg04.mp4,Front view V6-seg04.mp4,Dumbbell shoulder press,volunteer_006,front,80,30.0,2.6666666666666665,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg05.mp4,Front view V6-seg05.mp4,Dumbbell shoulder press,volunteer_006,front,75,30.0,2.5,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg06.mp4,Front view V6-seg06.mp4,Dumbbell shoulder press,volunteer_006,front,74,30.0,2.466666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg07.mp4,Front view V6-seg07.mp4,Dumbbell shoulder press,volunteer_006,front,87,30.0,2.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg08.mp4,Front view V6-seg08.mp4,Dumbbell shoulder press,volunteer_006,front,73,30.0,2.433333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg09.mp4,Front view V6-seg09.mp4,Dumbbell shoulder press,volunteer_006,front,68,30.0,2.2666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #6/Front view V6-seg10.mp4,Front view V6-seg10.mp4,Dumbbell shoulder press,volunteer_006,front,62,30.0,2.066666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg01.mp4,Front view V7-seg01.mp4,Dumbbell shoulder press,volunteer_007,front,75,29.980013324450365,2.501666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg02.mp4,Front view V7-seg02.mp4,Dumbbell shoulder press,volunteer_007,front,106,29.887218045112782,3.546666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg03.mp4,Front view V7-seg03.mp4,Dumbbell shoulder press,volunteer_007,front,133,30.0,4.433333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg04.mp4,Front view V7-seg04.mp4,Dumbbell shoulder press,volunteer_007,front,132,29.988640666414238,4.401666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg05.mp4,Front view V7-seg05.mp4,Dumbbell shoulder press,volunteer_007,front,117,30.038510911424904,3.895,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg06.mp4,Front view V7-seg06.mp4,Dumbbell shoulder press,volunteer_007,front,113,30.24085637823372,3.736666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg07.mp4,Front view V7-seg07.mp4,Dumbbell shoulder press,volunteer_007,front,99,30.060728744939272,3.2933333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg08.mp4,Front view V7-seg08.mp4,Dumbbell shoulder press,volunteer_007,front,127,29.707602339181285,4.275,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #7/Front view V7-seg09.mp4,Front view V7-seg09.mp4,Dumbbell shoulder press,volunteer_007,front,136,30.033124769966875,4.528333333333333,720,1280
